Date,Open,High,Low,Close,Adj Close,Volume
10/19/2020,3360,3420,3320,3350,3348.400146,10278800
10/20/2020,3390,3500,3350,3390,3388.381104,28216300
10/21/2020,3420,3430,3340,3360,3358.395508,8208700
10/22/2020,3340,3370,3220,3260,3258.443115,12129500
10/23/2020,3300,3300,3210,3220,3218.462402,7920500
10/26/2020,3270,3270,3080,3110,3108.514893,10265400
10/27/2020,3090,3190,3060,3150,3148.495605,6487100
11/2/2020,3150,3160,3020,3080,3078.529053,4229000
11/3/2020,3100,3260,3100,3170,3168.486084,11741600
11/4/2020,3170,3200,3100,3110,3108.514893,3230700
11/5/2020,3120,3170,3120,3140,3138.500488,2342300
11/6/2020,3150,3170,3120,3150,3148.495605,4176500
11/9/2020,3170,3220,3160,3190,3188.476563,4622400
11/10/2020,3300,3630,3240,3260,3258.443115,61448200
11/11/2020,3270,3300,3210,3210,3208.467041,9458800
11/12/2020,3240,3280,3220,3230,3228.45752,5064700
11/13/2020,3230,3260,3200,3250,3248.447998,2985700
11/16/2020,3310,3320,3230,3280,3278.433594,5653200
11/17/2020,3380,3380,3280,3290,3288.428955,16294300
11/18/2020,3300,3360,3260,3310,3308.419189,11150800
11/19/2020,3330,3350,3280,3290,3288.428955,5051700
11/20/2020,3250,3310,3230,3240,3238.452637,7688700
11/23/2020,3240,3320,3230,3270,3268.438477,7295500
11/24/2020,3300,3370,3270,3300,3298.424072,11890900
11/25/2020,3330,3340,3250,3270,3268.438477,7904800
11/26/2020,3270,3290,3250,3270,3268.438477,2321900
11/27/2020,3270,3300,3240,3260,3258.443115,3767300
11/30/2020,3290,3300,3080,3150,3148.495605,10589600
12/1/2020,3150,3230,3110,3200,3198.471924,4439600
12/2/2020,3210,3480,3200,3460,3458.347656,49402600
12/3/2020,3510,3640,3410,3500,3498.328613,63591600
12/4/2020,3600,3710,3510,3550,3548.304688,82297700
12/7/2020,3750,4430,3700,4430,4427.884277,178004600
12/8/2020,4620,5450,4590,4810,4807.703125,244403200
12/10/2020,4850,5000,4480,4480,4477.860352,39227100
12/11/2020,4250,4300,4170,4170,4168.008789,11254000
12/14/2020,4170,4530,4000,4470,4467.865234,64186400
12/15/2020,4470,4540,4300,4330,4327.932129,18074500
12/16/2020,4400,4580,4240,4440,4437.879883,38760000
12/17/2020,4500,4590,4360,4380,4377.908203,26944600
12/18/2020,4370,4440,4260,4280,4277.956055,10716800
12/21/2020,4280,4300,4060,4110,4108.037109,19042100
12/22/2020,4090,4490,4050,4300,4297.946289,45238400
12/23/2020,4400,4490,4000,4240,4237.975098,18137100
12/28/2020,4240,4320,4100,4180,4178.003906,6753900
12/29/2020,4180,4360,4130,4260,4257.96582,13142100
12/30/2020,4300,4370,4210,4250,4247.970215,9826300
1/4/2021,4300,4500,4300,4340,4337.927246,18276200
1/5/2021,4360,5200,4310,5125,5122.552734,121618400
1/6/2021,5200,5400,4780,4860,4857.679199,110794000
1/7/2021,4860,4940,4750,4830,4827.693359,21615800
1/8/2021,4890,5625,4850,5375,5372.433105,177249800
1/11/2021,5525,6450,5450,6450,6446.919922,135056100
1/12/2021,6900,7575,6500,6975,6971.668945,197120900
